Time (s)	PWM throttle signal (µs)	Rotation speed (rpm)	Thrust (kgf)	Torque (N⋅m)	Voltage (V)	Current (A)	Electrical power (W)	Mechanical power (W)	Motor & ESC efficiency (%)	Propeller efficiency (gf/W)	Propulsion system efficiency (gf/W)
2.3224646500005	700	0	0.000467954916114738	-7.1589408623126E-05	12.524517803192	0.24029985174537	3.00963977128928	0	0		
170.6733058	833	1792	0.0178808294880097	0.0077621373981864	12.338129205704	0.55508264422417	6.84868138428163	1.45662563655747	21.2687020292777	12.2755147508378	2.61084265491571
162.952161	892	2307.00000000005	0.0472752742699016	0.012765302570511	12.33116528511	0.78450529336929	9.67386443958043	3.08394998170278	31.8791936869082	15.3294555846846	4.88690683699016
155.07827525	950	2717.00000000004	0.0782831499382287	0.017802075145218	12.323138008118	1.0316063380241	12.7126272735202	5.0651100566855	39.8431413720111	15.4553699844886	6.15790491248718
147.2586506	1008	3061.00000000001	0.108112938720817	0.022763348708683	12.314643507004	1.3011783134937	16.0235470697196	7.29672701788123	45.5375266545706	14.8166346988009	6.74712897527681
139.47713955	1067	3404.99999999999	0.139643611883763	0.028174523109338	12.305036258698	1.6200985372066	19.9353712429908	10.0462112919215	50.3939012194404	13.9001269061556	7.00481622246492
131.66136625	1125	3669.99999999999	0.165891320718217	0.033395513982688	12.295484724045	1.9536499404907	24.0210729994348	12.8346140701495	53.4306442949132	12.9253065040767	6.90607454222049
123.89643365	1183	3904.99999999999	0.19781667619913	0.040379375556405	12.285901641846	2.2898008155823	28.1322675996629	16.5123640401916	58.6954605834527	11.9799124896737	7.03166481330857
116.07755025	1242	4144	0.230458375109003	0.045345150618308	12.274546499252	2.6553450751305	32.5931565962491	19.6779210363335	60.3743947850638	11.7115204743165	7.0707596064974
108.23698785	1300	4395.99999999996	0.263473976497652	0.050648630264648	12.262804307938	3.0658814167976	37.5963038455327	23.3159978485905	62.0167289433187	11.3001372795023	7.00797550685183
100.44106405	1358	4621.00000000002	0.303198090814447	0.056901437074564	12.250011405945	3.5795368051529	43.8493666911229	27.535173755148	62.7949177672441	11.0113011637619	6.91453751088789
92.656782299999	1417	4910	0.342773048660888	0.062905862792438	12.234596977234	4.1668441963196	50.9796594088968	32.3445589468258	63.4460083136239	10.5975490104659	6.72372182622053
84.859621899999	1475	5221.99999999997	0.390387842449685	0.071144710289522	12.215662870407	4.9464986991882	60.4247604981898	38.9052401718755	64.3862546596953	10.0343254719681	6.46072635176402
77.156642349999	1534	5505.00000000003	0.450069237066419	0.082403302157383	12.195335283279	5.8204030370712	70.9817665208987	47.5040411944637	66.9242870709303	9.47433577753953	6.34063167382441
69.510557449999	1592	5823.00000000001	0.503904491332535	0.091221680723683	12.174631681442	6.7606673955917	82.3086354620627	55.6254423660705	67.5815387459668	9.05888510542252	6.12213394747374
61.907366199999	1650	6112	0.558432475034268	0.10148401026477	12.153214464188	7.7854402256012	94.6181247598476	64.9545508597171	68.6491631752159	8.59728021582844	5.90196092399461
54.153278249999	1709	6364.99999999996	0.616492263528759	0.11123601835012	12.132149829865	8.8514908504486	107.387613215322	74.1433937524331	69.0427801982796	8.31486437736103	5.74081353584643
46.372610149999	1767	6638.99999999999	0.677452943800778	0.12191734543968	12.11065527916	10.028883581161	121.456351886269	84.7611391190748	69.7873250782676	7.99249456580655	5.57774816450229
38.715720849999	1825	6916.00000000003	0.747276731099978	0.13334311127434	12.09210603714	11.438305606842	138.313204283146	96.5726584481959	69.8217201667153	7.73797411304399	5.40278663178245
31.143572299999	1884	7197.99999999999	0.81531483829999	0.14462523724572	12.082768173218	12.916342487335	156.065171920355	109.014569646303	69.8519524278851	7.47895295963899	5.22419466347093
23.618011749999	1942	7390.00000000004	0.874870922485201	0.1530824550012	12.100219020844	13.976794223785	169.122271317066	118.467295714223	70.0483116692087	7.38491511273829	5.17300835467741
